Time,SBUS A          V-node,SBUS B          V-node,SBUS C          V-node,SBUS A 25   A I-branch,SBUS B 25   B I-branch,SBUS C 25   C I-branch,TACS   PV001A I-branch,TACS   PV001X I-branch,TACS   PV001I I-branch,TACS   PV002A I-branch,TACS   PV002X I-branch,TACS   PV002I I-branch,TACS   PV003A I-branch,TACS   PV003X I-branch,TACS   PV003I I-branch,TACS   PV004A I-branch,TACS   PV004X I-branch,TACS   PV004I I-branch,TACS   PV005A I-branch,TACS   PV005X I-branch,TACS   PV005I I-branch,TACS   PV006A I-branch,TACS   PV006X I-branch,TACS   PV006I I-branch,TACS   PV007A I-branch,TACS   PV007X I-branch,TACS   PV007I I-branch,TACS   PV008A I-branch,TACS   PV008X I-branch,TACS   PV008I I-branch,TACS   PV009A I-branch,TACS   PV009X I-branch,TACS   PV009I I-branch,TACS   PV010A I-branch,TACS   PV010X I-branch,TACS   PV010I I-branch,TACS   PV011A I-branch,TACS   PV011X I-branch,TACS   PV011I I-branch,TACS   PV012A I-branch,TACS   PV012X I-branch,TACS   PV012I I-branch,TACS   PV013A I-branch,TACS   PV013X I-branch,TACS   PV013I I-branch,TACS   PV014A I-branch,TACS   PV014X I-branch,TACS   PV014I I-branch,TACS   PV001V I-branch,TACS   PV001W I-branch,TACS   PV009V I-branch,TACS   PV009W I-branch,TACS   PV013V I-branch,TACS   PV013W I-branch
0,98496,-51452,-47059,98375,-66450,-27692,741,-15876,-99999,2903,13312,-99999,-3526,2939,-99999,-3539,3043,-99999,4428,13291,-99999,7367,13889,-99999,8204,14828,-99999,908,12516,-99999,2452,-15444,-99999,-17659,1389,-99999,-13888,1428,-99999,-13894,1264,-99999,2011,-15294,-99999,8352,15431,-99999,-99999,-99999,-99999,-99999,-99999,-99999
50,98532,-49839,-48694,99337,-65336,-30425,-46276,-17356,-97514,95764,14733,-97494,-52557,1573,-97464,-52714,1678,-97465,96016,14711,-97493,94575,15318,-97490,94746,16273,-97486,97649,13927,-97497,-40438,-16947,-97510,-60612,23,-97445,-58930,60,-97446,-58986,-105,-97444,-40760,-16801,-97510,91385,16891,-97482,-99998,98730,-99998,98623,-99998,98639
100,99316,-48786,-50522,99949,-63972,-33036,-48911,-20281,-92603,98304,17538,-92546,-54972,-1126,-92457,-54869,-1018,-92459,97982,17516,-92543,96564,18142,-92532,96272,19129,-92522,98903,16714,-92555,-44287,-19917,-92594,-60005,-2676,-92400,-58466,-2641,-92401,-58755,-2810,-92395,-45395,-19777,-92591,95388,19774,-92509,-99666,98730,-99686,98623,-99686,98639
150,99820,-47768,-52263,99998,-62113,-35452,-51012,-23133,-87814,99389,20274,-87720,-56448,-3758,-87573,-56770,-3648,-87576,99003,20251,-87715,97829,20896,-87696,97299,21914,-87680,99624,19431,-87735,-46456,-22813,-87799,-58953,-5308,-87479,-57556,-5275,-87481,-57786,-5447,-87471,-47693,-22680,-87795,97074,22586,-87659,-98980,98481,-99032,98365,-99027,98377
200,99873,-46267,-53917,99746,-59923,-37742,-52844,-25914,-83143,99576,22941,-83012,-55707,-6324,-82810,-56073,-6211,-82814,99094,22919,-83006,97756,23581,-82980,97446,24629,-82958,99730,22080,-83033,-48176,-25636,-83122,-57832,-7874,-82680,-56672,-7843,-82683,-56960,-8018,-82668,-49390,-25510,-83116,97530,25327,-82929,-98265,98094,-98338,97966,-98321,97971
250,99999,-44826,-55570,99312,-57554,-39933,-54677,-28625,-78587,99927,25541,-78422,-54992,-8826,-78164,-55417,-8710,-78170,99559,25518,-78413,98507,26198,-78381,98052,27275,-78352,99977,24663,-78448,-49996,-28389,-78561,-56810,-10375,-77999,-56035,-10346,-78003,-56387,-10524,-77985,-51231,-28269,-78554,98293,28000,-78316,-97529,97827,-97623,97695,-97593,97699
300,99903,-43238,-57142,98727,-55029,-42045,-56356,-31267,-74144,99803,28074,-73944,-53747,-11263,-73633,-54190,-11145,-73640,99503,28051,-73934,98444,28748,-73895,98154,29854,-73860,99904,27179,-73976,-51658,-31071,-74112,-55829,-12812,-73434,-55485,-12785,-73439,-55951,-12966,-73416,-52797,-30958,-74103,98309,30604,-73816,-96774,97572,-96888,97438,-96846,97442
350,99894,-41683,-58740,98016,-52381,-44087,-58093,-33840,-69810,99998,30542,-69577,-52513,-13637,-69214,-52951,-13517,-69222,99783,30519,-69565,98921,31233,-69520,98609,32366,-69479,99999,29631,-69614,-53518,-33685,-69773,-54939,-15185,-68981,-55070,-15160,-68987,-55657,-15345,-68961,-54674,-33577,-69763,98892,33140,-69428,-96001,97320,-96134,97185,-96080,97189
400,99749,-40075,-60266,97172,-49607,-46059,-59707,-36347,-65584,99816,32946,-65318,-51120,-15949,-64904,-51559,-15826,-64913,99784,32922,-65304,99102,33652,-65252,98831,34813,-65206,99899,32018,-65360,-55220,-36230,-65541,-54093,-17496,-64639,-54654,-17473,-64645,-55356,-17661,-64615,-56247,-36129,-65530,98872,35611,-65148,-95211,97070,-95362,96933,-95296,96938
450,99659,-38476,-61825,96198,-46714,-47961,-61415,-38788,-61461,99973,35285,-61164,-49754,-18199,-60700,-50174,-18074,-60710,99930,35262,-61149,99302,36007,-61091,99137,37194,-61039,99908,34342,-61212,-57171,-38709,-61414,-53340,-19745,-60403,-54260,-19725,-60410,-55072,-19916,-60377,-58220,-38613,-61401,99373,38016,-60974,-94404,96821,-94571,96681,-94495,96686
