Time,SBUS A          V-node,SBUS B          V-node,SBUS C          V-node,SBUS A 1    A I-branch,SBUS B 1    B I-branch,SBUS C 1    C I-branch,FAULTA        I-branch,FAULTB        I-branch,FAULTC        I-branch,TACS   PV001V I-branch,TACS   PV001I I-branch,TACS   PV001W I-branch,TACS   PV002V I-branch,TACS   PV002I I-branch,TACS   PV002W I-branch,TACS   PV003V I-branch,TACS   PV003I I-branch,TACS   PV003W I-branch,TACS   PV004V I-branch,TACS   PV004I I-branch,TACS   PV004W I-branch,TACS   PV005V I-branch,TACS   PV005I I-branch,TACS   PV005W I-branch,TACS   PV006V I-branch,TACS   PV006I I-branch,TACS   PV006W I-branch,TACS   PV007V I-branch,TACS   PV007I I-branch,TACS   PV007W I-branch,TACS   PV008V I-branch,TACS   PV008I I-branch,TACS   PV008W I-branch
0,99992,-50007,-49988,86960,-99999,15447,-19357,0,0,-99999,-99999,99998,-99999,-99999,99998,-99999,-99999,99998,-99999,-99999,99999,-99999,-99999,99998,-99999,-99999,99998,-99999,-99999,99999,-99999,-99999,99998
50,99974,-48366,-51611,88172,-98958,13282,-19357,0,0,84905,-97479,99998,84857,-97477,99998,85445,-97489,99998,85349,-97486,99999,86080,-97500,99998,85679,-97493,99998,84027,-97461,99999,86425,-97506,99998
100,99921,-46708,-53216,89327,-97881,11136,-19357,0,0,84749,-92497,98474,84701,-92492,98458,85280,-92528,98493,85188,-92520,98489,85909,-92560,98499,85515,-92539,98497,83884,-92446,98454,86251,-92578,98500
150,99834,-45033,-54804,90336,-96769,9091,-19357,0,0,84426,-87632,95470,84383,-87623,95423,84939,-87682,95528,84853,-87670,95514,85553,-87736,95544,85172,-87700,95538,83594,-87548,95410,85890,-87765,95547
200,99711,-43342,-56372,91124,-95623,7222,-19357,0,0,84103,-82878,92547,84072,-82866,92468,84591,-82947,92643,84508,-82930,92619,85190,-83021,92668,84821,-82971,92659,83310,-82763,92447,85523,-83060,92673
250,99552,-41636,-57919,91758,-94448,5469,-19357,0,0,83816,-78232,89692,83801,-78219,89582,84276,-78320,89826,84194,-78298,89792,84858,-78412,89860,84499,-78350,89848,83057,-78089,89557,85189,-78462,89865
300,99356,-39915,-59444,92374,-93249,3708,-19357,0,0,83555,-73695,86903,83555,-73679,86766,83986,-73798,87075,83905,-73772,87031,84554,-73909,87116,84204,-73835,87102,82823,-73523,86739,84882,-73970,87122
350,99126,-38180,-60949,92997,-92029,1920,-19357,0,0,83314,-69262,84180,83328,-69245,84018,83718,-69381,84388,83637,-69351,84335,84272,-69509,84436,83930,-69423,84420,82606,-69064,83989,84600,-69580,84441
400,98861,-36431,-62433,93557,-90790,172,-19357,0,0,83091,-64932,81522,83117,-64914,81336,83469,-65065,81764,83388,-65031,81702,84010,-65210,81817,83675,-65113,81800,82403,-64709,81307,84337,-65291,81822
450,98561,-34669,-63894,94053,-89530,-1535,-19357,0,0,82884,-60703,78926,82921,-60684,78719,83237,-60850,79202,83156,-60811,79131,83766,-61011,79260,83437,-60903,79241,82216,-60456,78688,84093,-61101,79263
500,98225,-32895,-65332,94544,-88249,-3259,-19357,0,0,82693,-56573,76390,82741,-56554,76165,83023,-56732,76699,82942,-56690,76619,83540,-56908,76760,83218,-56790,76740,82046,-56303,76133,83867,-57008,76762
550,97854,-31109,-66747,95044,-86948,-5013,-19357,0,0,82519,-52540,73913,82577,-52520,73670,82826,-52710,74253,82745,-52664,74164,83332,-52901,74317,83016,-52773,74296,81890,-52248,73638,83658,-53010,74316
600,97449,-29313,-68139,95512,-85628,-6753,-19357,0,0,82360,-48602,71493,82426,-48582,71233,82645,-48783,71861,82563,-48733,71764,83140,-48988,71929,82830,-48850,71907,81747,-48289,71201,83466,-49105,71926
650,97009,-27505,-69507,95935,-84290,-8470,-19357,0,0,82215,-44757,69127,82290,-44738,68853,82480,-44947,69524,82398,-44893,69418,82965,-45166,69593,82660,-45019,69571,81619,-44424,68821,83290,-45292,69588
700,96535,-25688,-70849,96345,-82931,-10194,-19357,0,0,82085,-41003,66814,82168,-40984,66527,82331,-41202,67238,82248,-41144,67123,82805,-41433,67308,82506,-41277,67286,81506,-40651,66495,83130,-41568,67300
750,96026,-23862,-72166,96752,-81552,-11936,-19357,0,0,81970,-37338,64551,82061,-37320,64253,82197,-37545,65001,82114,-37484,64877,82662,-37789,65072,82367,-37624,65049,81407,-36968,64221,82985,-37932,65061
800,95483,-22028,-73458,97134,-80155,-13672,-19357,0,0,81869,-33760,62337,81966,-33743,62029,82078,-33975,62812,81995,-33911,62679,82533,-34231,62883,82244,-34058,62860,81320,-33373,61997,82856,-34382,62869
850,94907,-20185,-74724,97481,-78741,-15392,-19357,0,0,81782,-30269,60171,81885,-30253,59853,81974,-30490,60668,81891,-30422,60527,82420,-30757,60740,82136,-30576,60716,81247,-29865,59823,82742,-30916,60722
900,94296,-18336,-75963,97807,-77308,-17111,-19357,0,0,81709,-26861,58049,81818,-26846,57724,81885,-27089,58569,81801,-27017,58419,82321,-27366,58640,82042,-27178,58615,81187,-26442,57694,82643,-27532,58619
950,93652,-16480,-77175,98122,-75855,-18839,-19357,0,0,81649,-23535,55971,81763,-23522,55640,81810,-23769,56512,81726,-23694,56353,82237,-24056,56582,81963,-23861,56557,81141,-23101,55611,82558,-24230,56558
1000,92975,-14618,-78360,98415,-74386,-20563,-19357,0,0,81603,-20291,53935,81722,-20279,53599,81749,-20529,54496,81664,-20451,54328,82168,-20826,54564,81899,-20624,54539,81107,-19842,53570,82487,-21007,54536
1050,92265,-12750,-79517,98676,-72900,-22274,-19357,0,0,81569,-17125,51939,81692,-17114,51599,81702,-17367,52518,81616,-17286,52343,82112,-17674,52585,81848,-17465,52560,81085,-16663,51571,82430,-17862,52553
1100,91522,-10879,-80645,98914,-71396,-23980,-19357,0,0,81548,-14036,49981,81675,-14028,49638,81668,-14283,50579,81582,-14199,50395,82070,-14598,50642,81810,-14383,50617,81076,-13562,49612,82387,-14793,50608
1150,90746,-9003,-81745,99134,-69873,-25688,-19357,0,0,81540,-11023,48061,81671,-11017,47716,81648,-11274,48675,81561,-11187,48482,82041,-11597,48736,81786,-11376,48711,81078,-10537,47690,82357,-11799,48697
1200,89938,-7124,-82816,99332,-68335,-27390,-19357,0,0,81544,-8085,46176,81678,-8080,45830,81640,-8339,46805,81553,-8249,46605,82026,-8670,46863,81775,-8443,46839,81093,-7587,45806,82340,-8878,46821
1250,89099,-5243,-83857,99501,-66781,-29081,-19357,0,0,81560,-5220,44324,81697,-5216,43980,81645,-5476,44969,81558,-5383,44760,82023,-5815,45023,81777,-5582,44999,81119,-4710,43956,82336,-6029,44977
1300,88227,-3360,-84869,99644,-65211,-30765,-19357,0,0,81588,-2426,42506,81727,-2424,42163,81663,-2684,43164,81575,-2588,42947,82033,-3030,43215,81791,-2792,43190,81156,-1906,42141,82344,-3250,43165
1350,87324,-1476,-85851,99766,-63624,-32444,-19357,0,0,81628,299,40719,81769,298,40378,81693,38,41389,81604,137,41165,82056,-314,41437,81818,-72,41412,81205,828,40357,82365,-541,41382
1400,86391,409,-86802,99864,-62021,-34116,-19357,0,0,81678,2954,38961,81822,2952,38624,81735,2692,39644,81645,2793,39412,82090,2333,39687,81856,2580,39662,81265,3493,38604,82398,2101,39629
1450,85426,2294,-87722,99935,-60404,-35777,-19357,0,0,81740,5543,37232,81885,5539,36899,81788,5279,37926,81697,5383,37686,82136,4914,37965,81906,5166,37940,81335,6091,36881,82442,4677,37902
1500,84431,4178,-88611,99979,-58772,-37427,-19357,0,0,81812,8065,35531,81958,8059,35202,81852,7800,36234,81761,7907,35988,82194,7430,36268,81968,7686,36245,81415,8622,35185,82497,7188,36202
1550,83407,6060,-89468,99999,-57125,-39070,-19357,0,0,81895,10524,33855,82042,10516,33533,81928,10258,34568,81835,10367,34314,82263,9882,34597,82040,10142,34574,81506,11088,33517,82564,9635,34527
1600,82352,7940,-90294,99993,-55463,-40703,-19357,0,0,81988,12919,32205,82136,12909,31888,82014,12652,32926,81921,12764,32665,82342,12272,32950,82123,12536,32927,81606,13491,31874,82642,12019,32876
1650,81269,9818,-91088,99960,-53788,-42324,-19357,0,0,82091,15252,30579,82240,15240,30269,82110,14985,31307,82016,15099,31040,82432,14600,31326,82217,14867,31303,81716,15831,30256,82729,14343,31248
1700,80156,11692,-91849,99900,-52100,-43932,-19357,0,0,82203,17524,28975,82353,17511,28673,82217,17257,29710,82122,17374,29436,82532,16868,29724,82321,17139,29701,81836,18110,28662,82827,16606,29641
