Time,SBUS A          V-node,SBUS B          V-node,SBUS C          V-node,SBUS A 1    A I-branch,SBUS B 1    B I-branch,SBUS C 1    C I-branch,FAULTA        I-branch,FAULTB        I-branch,FAULTC        I-branch,TACS   PV001V I-branch,TACS   PV001I I-branch,TACS   PV001W I-branch,TACS   PV002V I-branch,TACS   PV002I I-branch,TACS   PV002W I-branch,TACS   PV003V I-branch,TACS   PV003I I-branch,TACS   PV003W I-branch,TACS   PV004V I-branch,TACS   PV004I I-branch,TACS   PV004W I-branch,TACS   PV005V I-branch,TACS   PV005I I-branch,TACS   PV005W I-branch,TACS   PV006V I-branch,TACS   PV006I I-branch,TACS   PV006W I-branch,TACS   PV007V I-branch,TACS   PV007I I-branch,TACS   PV007W I-branch,TACS   PV008V I-branch,TACS   PV008I I-branch,TACS   PV008W I-branch
0,99998,-50009,-49991,73888,-99999,10456,10,0,0,-99999,-99999,99998,-99999,-99999,99998,-99999,-99999,99998,-99999,-99999,99999,-99999,-99999,99998,-99999,-99999,99998,-99999,-99999,99999,-99999,-99999,99998
50,99980,-48368,-51614,74854,-98958,8773,10,0,0,84905,-97479,99998,84857,-97477,99998,85445,-97489,99998,85349,-97486,99999,86080,-97500,99998,85679,-97493,99998,84027,-97461,99999,86425,-97506,99998
100,99927,-46710,-53220,75774,-97881,7104,10,0,0,84749,-92497,98474,84701,-92492,98458,85280,-92528,98493,85188,-92520,98489,85909,-92560,98499,85515,-92539,98497,83884,-92446,98454,86251,-92578,98500
150,99840,-45035,-54807,76578,-96769,5514,10,0,0,84426,-87632,95470,84383,-87623,95423,84939,-87682,95528,84853,-87670,95514,85553,-87736,95544,85172,-87700,95538,83594,-87548,95410,85890,-87765,95547
200,99717,-43344,-56375,77206,-95623,4061,10,0,0,84103,-82878,92547,84072,-82866,92468,84591,-82947,92643,84508,-82930,92619,85190,-83021,92668,84821,-82971,92659,83310,-82763,92447,85523,-83060,92673
250,99558,-41638,-57922,77710,-94448,2698,10,0,0,83816,-78232,89692,83801,-78219,89582,84276,-78320,89826,84194,-78298,89792,84858,-78412,89860,84499,-78350,89848,83057,-78089,89557,85189,-78462,89865
300,99362,-39916,-59448,78202,-93249,1328,10,0,0,83555,-73695,86903,83555,-73679,86766,83986,-73798,87075,83905,-73772,87031,84554,-73909,87116,84204,-73835,87102,82823,-73523,86739,84882,-73970,87122
350,99132,-38181,-60953,78698,-92029,-61,10,0,0,83314,-69262,84180,83328,-69245,84018,83718,-69381,84388,83637,-69351,84335,84272,-69509,84436,83930,-69423,84420,82606,-69064,83989,84600,-69580,84441
400,98867,-36432,-62437,79144,-90790,-1421,10,0,0,83091,-64932,81522,83117,-64914,81336,83469,-65065,81764,83388,-65031,81702,84010,-65210,81817,83675,-65113,81800,82403,-64709,81307,84337,-65291,81822
450,98567,-34670,-63899,79539,-89530,-2748,10,0,0,82884,-60703,78926,82921,-60684,78719,83237,-60850,79202,83156,-60811,79131,83766,-61011,79260,83437,-60903,79241,82216,-60456,78688,84093,-61101,79263
500,98231,-32896,-65337,79930,-88249,-4089,10,0,0,82693,-56573,76390,82741,-56554,76165,83023,-56732,76699,82942,-56690,76619,83540,-56908,76760,83218,-56790,76740,82046,-56303,76133,83867,-57008,76762
550,97860,-31110,-66752,80329,-86948,-5452,10,0,0,82519,-52540,73913,82577,-52520,73670,82826,-52710,74253,82745,-52664,74164,83332,-52901,74317,83016,-52773,74296,81890,-52248,73638,83658,-53010,74316
600,97455,-29314,-68144,80702,-85628,-6805,10,0,0,82360,-48602,71493,82426,-48582,71233,82645,-48783,71861,82563,-48733,71764,83140,-48988,71929,82830,-48850,71907,81747,-48289,71201,83466,-49105,71926
650,97015,-27506,-69511,81039,-84290,-8140,10,0,0,82215,-44757,69127,82290,-44738,68853,82480,-44947,69524,82398,-44893,69418,82965,-45166,69593,82660,-45019,69571,81619,-44424,68821,83290,-45292,69588
700,96541,-25689,-70854,81365,-82931,-9481,10,0,0,82085,-41003,66814,82168,-40984,66527,82331,-41202,67238,82248,-41144,67123,82805,-41433,67308,82506,-41277,67286,81506,-40651,66495,83130,-41568,67300
750,96032,-23863,-72171,81689,-81552,-10835,10,0,0,81970,-37338,64551,82061,-37320,64253,82197,-37545,65001,82114,-37484,64877,82662,-37789,65072,82367,-37624,65049,81407,-36968,64221,82985,-37932,65061
800,95489,-22028,-73463,81994,-80155,-12185,10,0,0,81869,-33760,62337,81966,-33743,62029,82078,-33975,62812,81995,-33911,62679,82533,-34231,62883,82244,-34058,62860,81320,-33373,61997,82856,-34382,62869
850,94912,-20186,-74729,82270,-78741,-13522,10,0,0,81782,-30269,60171,81885,-30253,59853,81974,-30490,60668,81891,-30422,60527,82420,-30757,60740,82136,-30576,60716,81247,-29865,59823,82742,-30916,60722
900,94302,-18336,-75968,82530,-77308,-14859,10,0,0,81709,-26861,58049,81818,-26846,57724,81885,-27089,58569,81801,-27017,58419,82321,-27366,58640,82042,-27178,58615,81187,-26442,57694,82643,-27532,58619
