Time,SBUS A          V-node,SBUS B          V-node,SBUS C          V-node,SBUS A 1    A I-branch,SBUS B 1    B I-branch,SBUS C 1    C I-branch,FAULTA        I-branch,FAULTB        I-branch,FAULTC        I-branch,TACS   PV001V I-branch,TACS   PV001I I-branch,TACS   PV001W I-branch,TACS   PV002V I-branch,TACS   PV002I I-branch,TACS   PV002W I-branch,TACS   PV003V I-branch,TACS   PV003I I-branch,TACS   PV003W I-branch,TACS   PV004V I-branch,TACS   PV004I I-branch,TACS   PV004W I-branch,TACS   PV005V I-branch,TACS   PV005I I-branch,TACS   PV005W I-branch,TACS   PV006V I-branch,TACS   PV006I I-branch,TACS   PV006W I-branch,TACS   PV007V I-branch,TACS   PV007I I-branch,TACS   PV007W I-branch,TACS   PV008V I-branch,TACS   PV008I I-branch,TACS   PV008W I-branch
0,99997,-50009,-49991,76166,-99999,10834,12,0,0,-99999,-99999,99999,-99999,-99999,99998,-99999,-99999,99999,-99999,-99999,99998,-99999,-99999,99999,-99999,-99999,99999,-99999,-99999,99999,-99999,-99999,99998
50,99980,-48368,-51614,77161,-98937,9090,12,0,0,84745,-97476,99999,84663,-97474,99998,85321,-97487,99999,85240,-97484,99998,85954,-97498,99999,85570,-97491,99999,83873,-97459,99999,86284,-97503,99998
100,99927,-46710,-53220,78104,-97837,7367,12,0,0,84589,-92488,98464,84507,-92482,98445,85157,-92521,98486,85079,-92514,98482,85783,-92554,98491,85406,-92533,98490,83730,-92437,98443,86110,-92571,98492
150,99840,-45035,-54807,78906,-96701,5745,12,0,0,84269,-87618,95440,84192,-87607,95384,84818,-87672,95506,84745,-87660,95494,85429,-87725,95522,85064,-87690,95518,83444,-87534,95378,85751,-87752,95522
200,99717,-43344,-56376,79486,-95531,4300,12,0,0,83953,-82858,92496,83892,-82844,92403,84474,-82932,92606,84404,-82917,92586,85070,-83005,92631,84717,-82958,92627,83171,-82744,92393,85388,-83043,92632
250,99558,-41637,-57923,79915,-94334,2974,12,0,0,83677,-78209,89622,83636,-78191,89491,84166,-78301,89774,84097,-78281,89746,84745,-78393,89808,84402,-78334,89803,82932,-78066,89483,85062,-78441,89808
300,99363,-39916,-59449,80335,-93114,1639,12,0,0,83429,-73666,86814,83407,-73646,86650,83886,-73776,87009,83816,-73752,86973,84449,-73886,87050,84114,-73815,87045,82711,-73496,86645,84766,-73944,87048
350,99133,-38181,-60954,80767,-91876,278,12,0,0,83202,-69230,84072,83196,-69207,83878,83628,-69356,84308,83557,-69328,84264,84177,-69483,84356,83849,-69401,84350,82507,-69034,83876,84493,-69551,84352
400,98868,-36432,-62438,81143,-90622,-1044,12,0,0,82991,-64896,81396,83001,-64872,81174,83388,-65037,81671,83316,-65006,81620,83924,-65182,81725,83602,-65088,81719,82317,-64676,81176,84241,-65259,81718
450,98567,-34670,-63899,81460,-89350,-2325,12,0,0,82796,-60664,78784,82820,-60639,78537,83165,-60819,79097,83092,-60784,79038,83690,-60979,79155,83372,-60875,79150,82142,-60420,78543,84008,-61066,79145
